Oyster	354	187, 179, 178	0.734, 0.702, 0.699
Pine Cone	355	108, 88, 75	0.424, 0.346, 0.295
Fawn brown	356	160, 132, 79	0.628, 0.518, 0.310
Hurricane grey	357	149, 137, 136	0.585, 0.538, 0.534
Cloudy grey	358	171, 168, 158	0.671, 0.659, 0.620
Linen	359	175, 148, 131	0.687, 0.581, 0.514
Copper	360	150, 103, 102	0.589, 0.404, 0.400
Medium brown	361	86, 66, 54	0.338, 0.259, 0.212
Bronze	362	126, 104, 63	0.495, 0.408, 0.248
Flint	363	105, 102, 92	0.412, 0.400, 0.361
Dark taupe	364	90, 76, 66	0.353, 0.299, 0.259
Burnt Sienna	365	106, 57, 9	0.416, 0.224, 0.036
Institutional white	1001	248, 248, 248	0.973, 0.973, 0.973
Mid gray	1002	205, 205, 205	0.804, 0.804, 0.804
Really black	1003	17, 17, 17	0.067, 0.067, 0.067
Really red	1004	255, 0, 0	1.000, 0.000, 0.000
Deep orange	1005	255, 176, 0	1.000, 0.691, 0.000
Alder	1006	180, 128, 255	0.706, 0.502, 1.000
Dusty Rose	1007	163, 75, 75	0.640, 0.295, 0.295
Olive	1008	193, 190, 66	0.757, 0.746, 0.259
New Yeller	1009	255, 255, 0	1.000, 1.000, 0.000
Really blue	1010	0, 0, 255	0.000, 0.000, 1.000
Navy blue	1011	0, 32, 96	0.000, 0.126, 0.377
Deep blue	1012	33, 84, 185	0.130, 0.330, 0.726
Cyan	1013	4, 175, 236	0.016, 0.687, 0.926
CGA brown	1014	170, 85, 0	0.667, 0.334, 0.000
Magenta	1015	170, 0, 170	0.667, 0.000, 0.667
Pink	1016	255, 102, 204	1.000, 0.400, 0.800
Deep orange	1017	255, 175, 0	1.000, 0.687, 0.000
Teal	1018	18, 238, 212	0.071, 0.934, 0.832
Toothpaste	1019	0, 255, 255	0.000, 1.000, 1.000
Lime green	1020	0, 255, 0	0.000, 1.000, 0.000
Camo	1021	58, 125, 21	0.228, 0.491, 0.083
Grime	1022	127, 142, 100	0.499, 0.557, 0.393
Lavender	1023	140, 91, 159	0.550, 0.357, 0.624
Pastel light blue	1024	175, 221, 255	0.687, 0.867, 1.000
Pastel orange	1025	255, 201, 201	1.000, 0.789, 0.789
Pastel violet	1026	177, 167, 255	0.695, 0.655, 1.000
Pastel blue-green	1027	159, 243, 233	0.624, 0.953, 0.914
Pastel green	1028	204, 255, 204	0.800, 1.000, 0.800
Pastel yellow	1029	255, 255, 204	1.000, 1.000, 0.800
Pastel brown	1030	255, 204, 153	1.000, 0.800, 0.600
Royal purple	1031	98, 37, 209	0.385, 0.146, 0.820
Hot pink	1032	255, 0, 191	1.000, 0.000, 0.750
